"","ACCIDENT_NO","X","Y","OBJECTID","ACCIDENT_D","ACC_TIME","NO_VEHICLE","ACCIDENT_T","ACC_T_DESC","ABS_CODE","PERSON_ID","AGE","RD_USER_T","RD_U_DESC","SEX","LOCATION_D","NODE_ID.x","LOCATION_T","NODE_TYPE.x","N_TYPE_DES","ROAD_ROUTE","RD_NAME_1","RD_TYPE_1","RD_NAME_2","RD_TYPE_2","DEC_RD_DES","LGA_NAME.x","REGION_NAM","STAT_DIV_N","AMG_X","AMG_Y","NODE_ID.y","NODE_TYPE.y","VICGRID94_X","VICGRID94_Y","LGA_NAME.y","LGA_NAME_ALL","REGION_NAME","DEG_URBAN_NAME","Lat","Long","POSTCODE_NO"
"11","T20190001371",2525348.247,2409158.258,894,"2019/01/23 00:00:00+00","14.:3.00",2,1,"Collision with vehicle","A","A",78,2,"Drivers","M","At Int of DORSET ROAD and THE GATEWAY",37385,"I","I","Intersection",5784,"DORSET","ROAD","THE GATEWAY"," ","Declared Road","MAROONDAH","METROPOLITAN SOUTH EAST REGION","Melbourne - Outer East",2525348.247,2409158.258,37385,"I",2525348.247,2409158.258,"MAROONDAH","MAROONDAH","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.81825344,145.2879036,3136
"12","T20190001394",2159293.641,2392899.883,895,"2019/01/23 00:00:00+00","19.:3.00",2,1,"Collision with vehicle","A","2",16,3,"Passengers","F","On PRINCES HIGHWAY 223m W from Int GAMBLES ROAD",341441,"N","N","Non Intersection",2500,"PRINCES","HIGHWAY","GAMBLES","ROAD","Declared Road","GLENELG","SOUTH WESTERN REGION","Country",2159293.641,2392899.883,341441,"N",2159293.157,2392900.302,"GLENELG","GLENELG","SOUTH WESTERN REGION","RURAL_VICTORIA",-37.90259565,141.1248852,3304
"13","T20190001429",2425034.324,2434774.843,896,"2019/01/24 00:00:00+00","11.:2.00",1,6,"Vehicle overturned (no collision)","A","1",19,3,"Passengers","F","On WESTERN FREEWAY 1936m SE from Int CARTONS ROAD",343744,"N","N","Non Intersection",2520,"WESTERN","FREEWAY","CARTONS","ROAD","Declared Road","MOORABOOL","WESTERN REGION","Ballarat",2425034.324,2434774.843,343744,"N",2425034.324,2434774.843,"MOORABOOL","MOORABOOL","WESTERN REGION","RURAL_VICTORIA",-37.58477061,144.1511594,3342
"14","T20190001441",2501288.586,2410378.835,897,"2019/01/24 00:00:00+00","13.:5.00",1,4,"Collision with a fixed object","A","1",55,3,"Passengers","M","On HODGSON STREET 67m S from Int MCEVOY STREET",344620,"N","N","Non Intersection",9999,"HODGSON","STREET","MCEVOY","STREET","Non Declared Road","BOROONDARA","METROPOLITAN SOUTH EAST REGION","Melbourne - Inner East",2501288.586,2410378.835,344620,"N",2501288.586,2410378.835,"BOROONDARA","BOROONDARA","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.80760043,145.0146336,3101
"15","T20190001468",2398717.03,2406607.098,898,"2019/01/25 00:00:00+00","03.:3.00",1,6,"Vehicle overturned (no collision)","A","A",26,2,"Drivers","F","On GUMLEY ROAD 1447m S from Int RICES ROAD",341515,"N","N","Non Intersection",9999,"GUMLEY","ROAD","RICES","ROAD","Non Declared Road","GOLDEN PLAINS","SOUTH WESTERN REGION","Country",2398717.03,2406607.098,341515,"N",2398717.03,2406607.098,"GOLDEN PLAINS","GOLDEN PLAINS","SOUTH WESTERN REGION","RURAL_VICTORIA",-37.8360697,143.8493375,3352
"16","T20190001578",2693256.445,2429495.407,899,"2019/01/26 00:00:00+00","14.:3.00",1,5,"Collision with some other object","A","A",59,4,"Motorcyclists","M","On BAIRNSDALE-DARGO ROAD 920m NW from Int REEDY CREEK ROAD",341591,"N","N","Non Intersection",5559,"BAIRNSDALE-DARGO","ROAD","REEDY CREEK","ROAD","Declared Road","EAST GIPPSLAND","EASTERN REGION","Country",2693256.445,2429495.407,341591,"N",2693256.445,2429495.407,"EAST GIPPSLAND","EAST GIPPSLAND,WELLINGTON","EASTERN REGION","RURAL_VICTORIA",-37.61532986,147.1893007,3862
"17","T20190001629",2512780.695,2426723.858,900,"2019/01/27 00:00:00+00","13.:0.00",1,4,"Collision with a fixed object","A","A",65,4,"Motorcyclists","M","On IRONBARK ROAD 198m S from Int PIONEER ROAD",341590,"N","N","Non Intersection",9999,"IRONBARK","ROAD","PIONEER","ROAD","Non Declared Road","NILLUMBIK","METROPOLITAN NORTH WEST REGION","Melbourne - North East",2512780.695,2426723.858,341590,"N",2512780.695,2426723.858,"NILLUMBIK","NILLUMBIK","METROPOLITAN NORTH WEST REGION","RURAL_VICTORIA",-37.66023961,145.144859,3089
"18","T20190001633",2520875.434,2562578.373,901,"2019/01/27 00:00:00+00","18.:1.00",1,2,"Struck Pedestrian","A","1",1,1,"Pedestrians","M","On PETER AVENUE 58m W from Int SKILTON AVENUE",341589,"N","N","Non Intersection",9999,"PETER","AVENUE","SKILTON","AVENUE","Non Declared Road","SHEPPARTON","NORTH EASTERN REGION","Country",2520875.434,2562578.373,341589,"N",2520875.434,2562578.373,"SHEPPARTON","SHEPPARTON","NORTH EASTERN REGION","TOWNS",-36.43578404,145.23284,3616
"19","T20190001692",2431024.177,2400787.003,902,"2019/01/28 00:00:00+00","12.:5.00",2,1,"Collision with vehicle","A","1",77,3,"Passengers","F","On DE MOTTS ROAD 1005m NW from Int CLARKES ROAD",341608,"N","N","Non Intersection",9999,"DE MOTTS","ROAD","CLARKES","ROAD","Non Declared Road","GOLDEN PLAINS","SOUTH WESTERN REGION","Country",2431024.177,2400787.003,341608,"N",2431024.177,2400787.003,"GOLDEN PLAINS","GOLDEN PLAINS","SOUTH WESTERN REGION","RURAL_VICTORIA",-37.89146323,144.2158096,3213
"20","T20190001893",2502856.419,2562045.25,903,"2019/01/31 00:00:00+00","14.:4.00",1,4,"Collision with a fixed object","A","A",57,4,"Motorcyclists","M","At Int of MIDLAND HIGHWAY and MCEWEN ROAD",59245,"I","I","Intersection",2590,"MIDLAND","HIGHWAY","MCEWEN","ROAD","Declared Road","SHEPPARTON","NORTH EASTERN REGION","Country",2502856.419,2562045.25,59245,"I",2502856.419,2562045.25,"CAMPASPE","CAMPASPE,SHEPPARTON","NORTH EASTERN REGION","RURAL_VICTORIA",-36.44081464,145.0318619,3623
"21","T20190001906",2465402.811,2413403.066,904,"2019/01/31 00:00:00+00","15.:5.00",1,4,"Collision with a fixed object","A","A",38,2,"Drivers","M","On MOUNT COTTRELL ROAD 1679m N from Int BOUNDARY ROAD",341729,"N","N","Non Intersection",9999,"MOUNT COTTRELL","ROAD","BOUNDARY","ROAD","Non Declared Road","MELTON","METROPOLITAN NORTH WEST REGION","Melbourne - West",2465402.811,2413403.066,341729,"N",2465402.811,2413403.066,"MELTON","MELTON","METROPOLITAN NORTH WEST REGION","RURAL_VICTORIA",-37.77970963,144.6072475,3024
"22","T20190001914",2520594.067,2542619.222,905,"2019/01/31 00:00:00+00","03.:0.00",1,2,"Struck Pedestrian","A","1",20,1,"Pedestrians","M","On MURCHISON-VIOLET TOWN ROAD 27m E from Int HIGH ROAD",341730,"N","N","Non Intersection",5414,"MURCHISON-VIOLET TOWN","ROAD","HIGH","ROAD","Declared Road","SHEPPARTON","NORTH EASTERN REGION","Country",2520594.067,2542619.222,341730,"N",2520594.067,2542619.222,"SHEPPARTON","SHEPPARTON","NORTH EASTERN REGION","SMALL_TOWNS",-36.61567347,145.2302402,3610
"23","T20190001992",2233977.379,2804054.761,906,"2019/02/01 00:00:00+00","19.:4.00",2,1,"Collision with vehicle","A","A",85,2,"Drivers","M","At Int of DEAKIN AVENUE and SEVENTEENTH STREET",54123,"I","I","Intersection",2610,"DEAKIN","AVENUE","SEVENTEENTH","STREET","Declared Road","MILDURA","WESTERN REGION","Country",2233977.379,2804054.761,54123,"I",2233977.379,2804054.761,"MILDURA","MILDURA","WESTERN REGION","RURAL_VICTORIA",-34.22390585,142.1153556,3500
"24","T20190002017",2346067.878,2350565.383,907,"2019/02/02 00:00:00+00","03.:0.00",1,6,"Vehicle overturned (no collision)","A","A",40,2,"Drivers","M","On COBDEN-STONYFORD ROAD 46m E from Int FOSTERS ROAD",341752,"N","N","Non Intersection",5032,"COBDEN-STONYFORD","ROAD","FOSTERS","ROAD","Declared Road","CORANGAMITE","SOUTH WESTERN REGION","Country",2346067.878,2350565.383,341752,"N",2346067.878,2350565.383,"CORANGAMITE","CORANGAMITE","SOUTH WESTERN REGION","RURAL_VICTORIA",-38.33363535,143.2395374,3260
"25","T20190002189",2459155.567,2423739.096,908,"2019/02/04 00:00:00+00","21.:2.00",1,4,"Collision with a fixed object","A","A",45,2,"Drivers","M","On HIGH STREET 532m E from Int OLD WESTERN HIGHWAY",341800,"N","N","Non Intersection",9999,"HIGH","STREET","OLD WESTERN","HIGHWAY","Non Declared Road","MELTON","METROPOLITAN NORTH WEST REGION","Melbourne - West",2459155.567,2423739.096,341800,"N",2459155.567,2423739.096,"MELTON","MELTON","METROPOLITAN NORTH WEST REGION","SMALL_CITIES",-37.68632641,144.5368997,3337
"26","T20190002234",2468540.106,2367171.794,909,"2019/02/05 00:00:00+00","22.:2.00",2,1,"Collision with vehicle","A","A",34,2,"Drivers","M","At Int of QUEENSCLIFF ROAD and ANDERSONS ROAD",264154,"I","I","Intersection",5003,"QUEENSCLIFF","ROAD","ANDERSONS","ROAD","Declared Road","GEELONG","SOUTH WESTERN REGION","Country",2468540.106,2367171.794,264154,"I",2468540.106,2367171.794,"GEELONG","GEELONG","SOUTH WESTERN REGION","RURAL_VICTORIA",-38.1963306,144.6408825,3222
"27","T20190002234",2468540.106,2367171.794,910,"2019/02/05 00:00:00+00","22.:2.00",2,1,"Collision with vehicle","A","B",63,2,"Drivers","F","At Int of QUEENSCLIFF ROAD and ANDERSONS ROAD",264154,"I","I","Intersection",5003,"QUEENSCLIFF","ROAD","ANDERSONS","ROAD","Declared Road","GEELONG","SOUTH WESTERN REGION","Country",2468540.106,2367171.794,264154,"I",2468540.106,2367171.794,"GEELONG","GEELONG","SOUTH WESTERN REGION","RURAL_VICTORIA",-38.1963306,144.6408825,3222
"28","T20190002237",2534679.733,2440314.725,911,"2019/02/05 00:00:00+00","23.:5.00",1,4,"Collision with a fixed object","A","A",39,2,"Drivers","M","On GORDONS BRIDGE ROAD 443m NE from Int HEALESVILLE-KINGLAKE ROAD",342086,"N","N","Non Intersection",9999,"GORDONS BRIDGE","ROAD","HEALESVILLE-KINGLAKE","ROAD","Non Declared Road","MURRINDINDI","NORTH EASTERN REGION","Country",2534679.733,2440314.725,342086,"N",2534679.733,2440314.725,"MURRINDINDI","MURRINDINDI,MURRINDINDI","NORTH EASTERN REGION","RURAL_VICTORIA",-37.53721874,145.3924302,3777
"29","T20190002256",2512148.52,2400805.137,912,"2019/02/06 00:00:00+00","08.:0.00",3,1,"Collision with vehicle","A","A",24,4,"Motorcyclists","M","On MONASH FREEWAY(R) 106m W from Int BLACKBURN-MONASH IN RAMP ON",341826,"N","N","Non Intersection",2000,"MONASH","FREEWAY","BLACKBURN-MONASH IN ON","RAMP","Declared Road","MONASH","METROPOLITAN SOUTH EAST REGION","Melbourne - South East",2512148.52,2400805.137,341826,"N",2512148.52,2400805.137,"MONASH","MONASH","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.89378001,145.13812,3149
"30","T20190002318",2405731.827,2552438.814,913,"2019/02/06 00:00:00+00","16.:4.00",2,1,"Collision with vehicle","A","B",34,2,"Drivers","F","On BRIDGEWATER-SERPENTINE ROAD 243m S from Int RUDDOCKS LANE",341827,"N","N","Non Intersection",5346,"BRIDGEWATER-SERPENTINE","ROAD","RUDDOCKS","LANE","Declared Road","LODDON","NORTHERN REGION","Bendigo",2405731.827,2552438.814,341827,"N",2405731.886,2552439.041,"LODDON","LODDON","NORTHERN REGION","RURAL_VICTORIA",-36.52269874,143.9473443,3517
"31","T20190002324",2418103.085,2438237.809,914,"2019/02/06 00:00:00+00","21.:3.00",2,1,"Collision with vehicle","A","A",84,2,"Drivers","M","On WESTERN FREEWAY 904m NW from Int CHAPMANS ROAD",344907,"N","N","Non Intersection",2520,"WESTERN","FREEWAY","CHAPMANS","ROAD","Declared Road","MOORABOOL","WESTERN REGION","Ballarat",2418103.085,2438237.809,344907,"N",2418102.722,2438237.081,"MOORABOOL","MOORABOOL","WESTERN REGION","RURAL_VICTORIA",-37.55299162,144.0730589,3352
"32","T20190002435",2435516.268,2527885.163,915,"2019/02/08 00:00:00+00","12.:1.00",2,1,"Collision with vehicle","A","A",88,2,"Drivers","M","At Int of ARNOLD STREET and BANNISTER STREET",59607,"I","I","Intersection",5217,"ARNOLD","STREET","BANNISTER","STREET","Declared Road","BENDIGO","NORTHERN REGION","Bendigo",2435516.268,2527885.163,59607,"I",2435516.268,2527885.163,"BENDIGO","BENDIGO","NORTHERN REGION","LARGE_PROVINCIAL_CITIES",-36.74648482,144.2778395,3550
"33","T20190002576",2602929.283,2346730.399,916,"2019/02/10 00:00:00+00","10.:5.00",4,1,"Collision with vehicle","A","A",57,4,"Motorcyclists","M","At Int of STRZELECKI HIGHWAY and DARLIMURLA ROAD",342065,"I","I","Intersection",2180,"STRZELECKI","HIGHWAY","DARLIMURLA","ROAD","Declared Road","SOUTH GIPPSLAND","EASTERN REGION","Country",2602929.283,2346730.399,342065,"I",2602929.283,2346730.399,"SOUTH GIPPSLAND","SOUTH GIPPSLAND","EASTERN REGION","RURAL_VICTORIA",-38.3752648,146.1777795,3871
"34","T20190002748",2229264.545,2803899.828,917,"2019/02/13 00:00:00+00","07.:5.00",2,1,"Collision with vehicle","A","A",61,2,"Drivers","F","At Int of STURT HIGHWAY and OAK AVENUE",58178,"I","I","Intersection",2610,"STURT","HIGHWAY","OAK","AVENUE","Declared Road","MILDURA","WESTERN REGION","Country",2229264.545,2803899.828,58178,"I",2229264.545,2803899.828,"MILDURA","MILDURA","WESTERN REGION","RURAL_VICTORIA",-34.22400325,142.0642318,3505
"35","T20190002748",2229264.545,2803899.828,917,"2019/02/13 00:00:00+00","07.:5.00",2,1,"Collision with vehicle","A","A",61,2,"Drivers","F","At Int of STURT HIGHWAY and OAK AVENUE",58178,"I","I","Intersection",2610,"STURT","HIGHWAY","OAK","AVENUE","Declared Road","MILDURA","WESTERN REGION","Country",2229264.545,2803899.828,58178,"I",2229264.545,2803899.828,"MILDURA","MILDURA","WESTERN REGION","RURAL_VICTORIA",-34.22400325,142.0642318,3501
"36","T20190002748",2229264.545,2803899.828,917,"2019/02/13 00:00:00+00","07.:5.00",2,1,"Collision with vehicle","A","A",61,2,"Drivers","F","At Int of STURT HIGHWAY and OAK AVENUE",58178,"I","I","Intersection",2610,"STURT","HIGHWAY","OAK","AVENUE","Declared Road","MILDURA","WESTERN REGION","Country",2229264.545,2803899.828,58178,"I",2229264.545,2803899.828,"MILDURA","MILDURA","WESTERN REGION","RURAL_VICTORIA",-34.22400325,142.0642318,3500
"37","T20190002783",2527338.949,2562081.504,918,"2019/02/13 00:00:00+00","15.:3.00",1,4,"Collision with a fixed object","A","A",49,2,"Drivers","F","On FERGUSON ROAD 766m SW from Int TURNBULL ROAD",342185,"N","N","Non Intersection",9999,"FERGUSON","ROAD","TURNBULL","ROAD","Non Declared Road","SHEPPARTON","NORTH EASTERN REGION","Country",2527338.949,2562081.504,342185,"N",2527338.949,2562081.504,"SHEPPARTON","SHEPPARTON","NORTH EASTERN REGION","RURAL_VICTORIA",-36.44009757,145.30495,3616
"38","T20190002790",2580929.08,2315154.581,919,"2019/02/13 00:00:00+00","16.:0.00",2,1,"Collision with vehicle","A","A",27,2,"Drivers","F","At Int of TARWIN LOWER ROAD and BUFFALO-TARWIN LOWER ROAD",57708,"I","I","Intersection",5665,"TARWIN LOWER","ROAD","BUFFALO-TARWIN LOWER","ROAD","Declared Road","SOUTH GIPPSLAND","EASTERN REGION","Country",2580929.08,2315154.581,57708,"I",2580929.08,2315154.581,"SOUTH GIPPSLAND","SOUTH GIPPSLAND","EASTERN REGION","RURAL_VICTORIA",-38.66183433,145.9295858,3956
"39","T20190002791",2471171.814,2471733.985,921,"2019/02/13 00:00:00+00","14.:1.00",1,4,"Collision with a fixed object","A","A",87,2,"Drivers","M","On THREE CHAIN ROAD 268m W from Int BRIDIES LANE",342184,"N","N","Non Intersection",9999,"THREE CHAIN","ROAD","BRIDIES","LANE","Non Declared Road","MACEDON RANGES","NORTHERN REGION","Country",2471171.814,2471733.985,342184,"N",2471173.775,2471725.086,"MACEDON RANGES","MACEDON RANGES","NORTHERN REGION","RURAL_VICTORIA",-37.25436922,144.6750199,3435
"40","T20190002791",2471171.814,2471733.985,920,"2019/02/13 00:00:00+00","14.:1.00",1,4,"Collision with a fixed object","A","1",86,3,"Passengers","F","On THREE CHAIN ROAD 268m W from Int BRIDIES LANE",342184,"N","N","Non Intersection",9999,"THREE CHAIN","ROAD","BRIDIES","LANE","Non Declared Road","MACEDON RANGES","NORTHERN REGION","Country",2471171.814,2471733.985,342184,"N",2471173.775,2471725.086,"MACEDON RANGES","MACEDON RANGES","NORTHERN REGION","RURAL_VICTORIA",-37.25436922,144.6750199,3435
"41","T20190002873",2529823.877,2404436.484,922,"2019/02/14 00:00:00+00","18.:0.00",2,1,"Collision with vehicle","A","A",28,4,"Motorcyclists","M","At Int of MOUNTAIN HIGHWAY and HILTON ROAD",41076,"I","I","Intersection",5783,"MOUNTAIN","HIGHWAY","HILTON","ROAD","Declared Road","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","Melbourne - Outer East",2529823.877,2404436.484,41076,"I",2529823.877,2404436.484,"YARRA RANGES","YARRA RANGES","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.86066338,145.338928,3786
"42","T20190002876",2289112.497,2343604.203,923,"2019/02/14 00:00:00+00","16.:5.00",3,1,"Collision with vehicle","A","B",15,6,"Bicyclists","M","On PRINCES HIGHWAY 1m E from Int ZIEGLER PARADE",597163,"I","I","Intersection",2500,"PRINCES","HIGHWAY","ZIEGLER","PARADE","Declared Road","WARRNAMBOOL","SOUTH WESTERN REGION","Country",2289112.497,2343604.203,597163,"I",2289112.497,2343604.203,"WARRNAMBOOL","MOYNE,WARRNAMBOOL","SOUTH WESTERN REGION","RURAL_VICTORIA",-38.38507786,142.5863838,3277
"43","T20190002885",2501772.427,2427055.247,924,"2019/02/14 00:00:00+00","19.:5.00",1,2,"Struck Pedestrian","A","1",27,1,"Pedestrians","M","On HIGH STREET 112m SW from Int JOVIC ROAD",217279,"N","N","Non Intersection",5817,"HIGH","STREET","JOVIC","ROAD","Declared Road","WHITTLESEA","METROPOLITAN NORTH WEST REGION","Melbourne - North East",2501772.427,2427055.247,217279,"N",2501772.427,2427055.247,"WHITTLESEA","WHITTLESEA","METROPOLITAN NORTH WEST REGION","MELB_URBAN",-37.65733953,145.0200883,3076
"44","T20190002977",2630742.436,2364745.884,925,"2019/02/16 00:00:00+00","02.:0.00",1,2,"Struck Pedestrian","A","2",24,1,"Pedestrians","M","At Int of PRINCES HIGHWAY and BRADFORD DRIVE",53562,"I","I","Intersection",2510,"PRINCES","HIGHWAY","BRADFORD","DRIVE","Declared Road","LATROBE","EASTERN REGION","Country",2630742.436,2364745.884,53562,"I",2630742.436,2364745.884,"LATROBE","LATROBE","EASTERN REGION","RURAL_VICTORIA",-38.20948455,146.4927557,3844
"45","T20190003074",2520742.966,2398660.508,926,"2019/02/17 00:00:00+00","12.:0.00",2,1,"Collision with vehicle","A","2",17,3,"Passengers","F","On STUD ROAD 47m S from Int LAKESIDE BOULEVARD",342304,"N","N","Non Intersection",2090,"STUD","ROAD","LAKESIDE","BOULEVARD","Declared Road","KNOX","METROPOLITAN SOUTH EAST REGION","Melbourne - Outer East",2520742.966,2398660.508,342304,"N",2520742.988,2398660.655,"KNOX","KNOX","METROPOLITAN SOUTH EAST REGION","MELB_URBAN",-37.912949,145.2358931,3178
"46","T20190003091",2383935.89,2405677.199,927,"2019/02/17 00:00:00+00","20.:1.00",1,5,"Collision with some other object","A","A",25,2,"Drivers","M"," (Offroad Location)",342569,"O","O","Unknown",-1,"DEREEL-ROKEWOOD JUNCTION"," "," "," ","Declared Road","GOLDEN PLAINS","SOUTH WESTERN REGION","Country",2383935.89,2405677.199,342569,"O",2383935.89,2405677.199,"GOLDEN PLAINS","GOLDEN PLAINS","SOUTH WESTERN REGION","RURAL_VICTORIA",-37.84272015,143.6812847,3351
"47","T20190003466",2717888.688,2534447.89,928,"2019/02/21 00:00:00+00","14.:0.00",1,5,"Collision with some other object","A","A",68,4,"Motorcyclists","M","On OMEO HIGHWAY 2601m W from Int LIGHTNING CREEK TRACK",342515,"N","N","Non Intersection",2560,"OMEO","HIGHWAY","LIGHTNING CREEK","TRACK","Declared Road","TOWONG","NORTH EASTERN REGION","Country",2717888.688,2534447.89,342515,"N",2717888.688,2534447.89,"TOWONG","TOWONG","NORTH EASTERN REGION","RURAL_VICTORIA",-36.66439843,147.4377911,3701
"48","T20190003510",2498457.285,2421107.707,929,"2019/02/23 00:00:00+00","02.:5.00",3,1,"Collision with vehicle","A","A",31,2,"Drivers","M","On RADFORD ROAD 70m S from Int VICKERS STREET",342568,"N","N","Non Intersection",9999,"RADFORD","ROAD","VICKERS","STREET","Non Declared Road","DAREBIN","METROPOLITAN NORTH WEST REGION","Melbourne - North East",2498457.285,2421107.707,342568,"N",2498457.285,2421107.707,"DAREBIN","DAREBIN","METROPOLITAN NORTH WEST REGION","MELB_URBAN",-37.71093029,144.9825028,3073
